ABBOTTLAB,19970101,229.5,229.5,229.5,229.5,200
ADANIEXPO,19970101,268,268,268,268,100
ADITYASPIN,19970101,2.6,2.7,2.6,2.7,600
AKAIMPEX,19970101,9.5,10,9.5,10,400
AKGACOUST,19970101,13.6,14.5,13.55,14.5,1600
ALBRMORARJ,19970101,243,245.9,243,243.25,550
ALSAMARINE,19970101,5.7,5.75,5.5,5.7,3200
AMBUJELCST,19970101,3,3.1,2.75,2.8,24500
AMRUTIND,19970101,16.8,17.95,16.8,17.95,6900
ANSALHOUS,19970101,15,15.3,15,15.3,3000
ARIHANTCOT,19970101,4.35,4.4,4.35,4.4,5400
ASIANALLOY,19970101,11.25,11.6,11.1,11.6,1500
ASIANCABLE,19970101,12.95,13.8,12.95,13.75,1250
ASIANCONSO,19970101,4.25,4.5,4.25,4.5,900
ASILIND,19970101,19.25,20,19.25,20,1850
ATLASCYCLE,19970101,75,80,75,80,300
ATVPROJ,19970101,6.8,6.8,6.75,6.8,39400
AUTOLEC,19970101,65,66,65,65.8,2100
BAGYAMETAL,19970101,22.2,22.45,21.25,21.25,1000
BAJAJPLAST,19970101,14.9,15.05,14.85,15.05,2600
BALURTRANS,19970101,4,4,4,4,100
BANCOPROD,19970101,57,57,57,57,100
BELCONTROL,19970101,13.25,13.5,13,13.5,4400
BESTAVISON,19970101,8.25,8.25,8.25,8.25,200
BHARATPIPE,19970101,3.5,3.6,3.25,3.5,5200
BHARTITELE,19970101,95,96.5,93.1,96.5,900
BHORIND,19970101,23,23.1,23,23.1,200
BIHARALLOY,19970101,2.65,2.65,2.65,2.65,1200
BIRLA3M,19970101,232,232,232,232,100
BLUEBLENDS,19970101,24,24,24,24,100
BOERMANHEM,19970101,75,79.7,75,76,2050
BRIGHTBROS,19970101,75.5,75.5,69,69,200
BRITEAUTO,19970101,47,47,47,47,300
BROOKBOND,19970101,336.1,343.25,336.1,342.45,4750
BSI,19970101,36,36,33.55,33.55,300
CELESTE,19970101,3.75,3.85,3.75,3.85,900
CENTAKCHEM,19970101,153,156,152,155.75,3200
CHOKAINTL,19970101,2.25,2.4,2.25,2.4,1500
CHOKSITUBE,19970101,64.1,64.1,64.1,64.1,100
CLARIANT,19970101,165.5,174.75,165.5,174.75,300
COMPACDISC,19970101,2.9,3.15,2.9,3.15,200
COREBIO,19970101,18,18,18,18,200
CRBCAPS,19970101,24.4,24.55,22.05,23.5,143900
CRBCORP,19970101,22.25,22.35,22.25,22.35,80600
CROSLANDS,19970101,172.4,177,172,175.05,2600
CUTFASTABR,19970101,32,32,30,30.5,400
DAGERFORST,19970101,25,26.5,24.25,26.05,6650
DALMIACEM,19970101,257.75,257.75,257.75,257.75,200
DATAPROINF,19970101,3.65,3.65,3.65,3.65,7300
DCMSRMIND,19970101,27,27,26.05,26.05,200
DECANGRAN,19970101,5.55,5.65,5,5.15,17000
DELTAIND,19970101,23,23,22.5,22.55,1400
DGPWINDSOR,19970101,75.95,77,75.95,77,300
DHARNENIND,19970101,2.85,2.85,2.85,2.85,400
DRIND,19970101,3.2,3.2,3.1,3.2,1100
DSJFINCORP,19970101,7,7.1,7,7.1,6200
DSKULKARNI,19970101,9,9,9,9,300
EARNHEALTH,19970101,5.5,6,5.5,6,3400
ELPROINTL,19970101,52,52.1,52,52.05,250
ESTWSTRAV,19970101,4,4.15,4,4.15,600
FASTCAP,19970101,26.5,26.5,26.5,26.5,100
FEDDERLOYD,19970101,8,8.15,8,8.15,700
FISHFALCON,19970101,1.55,1.55,1.55,1.55,200
GALPOWTEL,19970101,21,22,20.9,22,2400
GEORGFISCH,19970101,203.25,203.25,203.25,203.25,100
GICBIGCBS,19970101,14.2,14.4,14.2,14.4,1300
GMSIND,19970101,14.75,14.75,13.5,13.5,5100
GOLCRESFIN,19970101,25.5,25.5,25.5,25.5,100
GRAPCOGRAN,19970101,4.3,4.3,4,4.25,24100
GRAPCOMIN,19970101,3,3.2,2.8,3.2,4800
GROMORSOLV,19970101,1.25,1.25,1.25,1.25,20100
GROWTECHNO,19970101,48.5,48.5,48.5,48.5,100
GUJAMBPROT,19970101,3.25,3.25,3,3.25,1400
GUJAPARPOL,19970101,9.65,9.65,8.5,9.05,1800
GUJAPOLEQP,19970101,42,42,42,42,100
GUJBOROSIL,19970101,4.9,4.9,4.5,4.55,2700
GUJCOTEX,19970101,7.8,7.95,7.5,7.6,117500
GUJNRECOKE,19970101,11.5,11.55,9.5,9.75,94700
GUJOPTICAL,19970101,4.95,4.95,4.95,4.95,500
GUJTHEMIS,19970101,28,29.5,28,29.5,150
HANILERA,19970101,5.9,5.9,5.65,5.9,1700
HBPORT,19970101,15.05,16,15.05,15.95,11000
HIMGRANITE,19970101,37.5,37.5,37.5,37.5,300
HINDCIBA,19970101,2850,2850,2831,2838,20
HINDINDCHM,19970101,3.45,3.45,3.45,3.45,100
HINDRECT,19970101,100,100,100,100,50
HINDTINWRK,19970101,35,38,35,38,200
HITECHIJEW,19970101,172,175,172,173.55,10600
HYTSNMAGNT,19970101,3.1,3.1,2.9,2.9,1500
IDLCHEM,19970101,30,30,30,30,100
IFBVENTUR,19970101,3.95,4.1,3.95,4.1,700
IGGIRESORT,19970101,14,14.3,13.45,14.25,11600
INDIAFOILS,19970101,49,50,49,50,100
INDOASAHI,19970101,22.5,22.75,22,22,1150
